<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,12:24,114960.0000000,115020.0000000,114920.0000000,115000.0000000,1248
SPFB.RTS-12.18,1,26/09/18,12:25,115000.0000000,115010.0000000,114910.0000000,114950.0000000,1153
SPFB.RTS-12.18,1,26/09/18,12:26,114950.0000000,115000.0000000,114920.0000000,114990.0000000,1014
SPFB.RTS-12.18,1,26/09/18,12:27,115000.0000000,115010.0000000,114960.0000000,114970.0000000,407
SPFB.RTS-12.18,1,26/09/18,12:28,114980.0000000,115010.0000000,114940.0000000,114970.0000000,593
SPFB.RTS-12.18,1,26/09/18,12:29,114960.0000000,115050.0000000,114950.0000000,115030.0000000,554
SPFB.RTS-12.18,1,26/09/18,12:30,115030.0000000,115060.0000000,115010.0000000,115020.0000000,676
SPFB.RTS-12.18,1,26/09/18,12:31,115010.0000000,115040.0000000,114990.0000000,115040.0000000,923
SPFB.RTS-12.18,1,26/09/18,12:32,115030.0000000,115030.0000000,114940.0000000,114950.0000000,767
SPFB.RTS-12.18,1,26/09/18,12:33,114950.0000000,115040.0000000,114950.0000000,115010.0000000,507
SPFB.RTS-12.18,1,26/09/18,12:34,115020.0000000,115040.0000000,115000.0000000,115040.0000000,219
SPFB.RTS-12.18,1,26/09/18,12:35,115050.0000000,115050.0000000,114970.0000000,115000.0000000,556
SPFB.RTS-12.18,1,26/09/18,12:36,115010.0000000,115040.0000000,114980.0000000,115030.0000000,342
SPFB.RTS-12.18,1,26/09/18,12:37,115030.0000000,115060.0000000,115010.0000000,115060.0000000,179
SPFB.RTS-12.18,1,26/09/18,12:38,115060.0000000,115070.0000000,115040.0000000,115070.0000000,285
SPFB.RTS-12.18,1,26/09/18,12:39,115060.0000000,115110.0000000,115060.0000000,115100.0000000,440
SPFB.RTS-12.18,1,26/09/18,12:40,115090.0000000,115100.0000000,115020.0000000,115050.0000000,621
SPFB.RTS-12.18,1,26/09/18,12:41,115040.0000000,115070.0000000,115030.0000000,115060.0000000,219
